Table 5,,,,,,,,,,,,,
Crime in the United States,,,,,,,,,,,,,
"by State, 2012",, ,,,,,,,,,,,
State,Area,,Population,"Violent
crime","Murder and
nonnegligent
manslaughter","Forcible
rape",Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",
NORTH CAROLINA,Metropolitan Statistical Area,,"7,523,905",,,,,,,,,,
,,Area actually reporting,99.2%,"26,943",329,"1,513","7,833","17,268","252,494","72,337","167,235","12,922",
,,Estimated total,100.0%,"27,088",329,"1,522","7,868","17,369","254,349","72,825","168,531","12,993",
,Cities outside metropolitan areas,,"642,467",,,,,,,,,,
,,Area actually reporting,91.8%,"3,642",59,179,934,"2,470","33,453","9,006","23,277","1,170",
,,Estimated total,100.0%,"3,966",64,195,"1,017","2,690","36,434","9,809","25,351","1,274",
,Nonmetropolitan counties,,"1,585,701",,,,,,,,,,
,,Area actually reporting,97.7%,"3,330",84,261,495,"2,490","36,926","16,298","18,818","1,810",
,,Estimated total,100.0%,"3,410",86,267,507,"2,550","37,811","16,689","19,269","1,853",
,State Total,,"9,752,073","34,464",479,"1,984","9,392","22,609","328,594","99,323","213,151","16,120",
,,"Rate per 100,000 inhabitants",,353.4,4.9,20.3,96.3,231.8,"3,369.5","1,018.5","2,185.7",165.3,
NORTH DAKOTA,Metropolitan Statistical Area,,"343,667", ,,,,,,,,,
,,Area actually reporting,100.0%,"1,063",6,164,105,788,"8,129","1,388","6,244",497,
,Cities outside metropolitan areas,,"161,463",,,,,,,,,,
,,Area actually reporting,94.1%,452,13,79,20,340,"3,861",527,"2,938",396,
,,Estimated total,100.0%,480,14,84,21,361,"4,104",560,"3,123",421,
,Nonmetropolitan counties,,"194,498",,,,,,,,,,
,,Area actually reporting,99.4%,168,8,24,5,131,"1,819",426,"1,161",232,
,,Estimated total,100.0%,169,8,24,5,132,"1,830",429,"1,168",233,
,State Total,,"699,628","1,712",28,272,131,"1,281","14,063","2,377","10,535","1,151",
,,"Rate per 100,000 inhabitants",,244.7,4.0,38.9,18.7,183.1,"2,010.1",339.8,"1,505.8",164.5,
OHIO,Metropolitan Statistical Area,,"9,153,765",,,,,,,,,,
,,Area actually reporting,93.4%,"30,974",446,"3,052","14,314","13,162","284,666","84,284","183,037","17,345",
,,Estimated total,100.0%,"31,824",454,"3,183","14,629","13,558","300,466","87,578","195,002","17,886",
,Cities outside metropolitan areas,,"1,039,632",,,,,,,,,,
,,Area actually reporting,80.0%,"1,302",12,233,368,689,"30,130","6,707","22,769",654,
,,Estimated total,100.0%,"1,627",15,291,460,861,"37,668","8,385","28,465",818,
,Nonmetropolitan counties,,"1,350,828",,,,,,,,,,
,,Area actually reporting,97.6%,"1,116",25,180,142,769,"21,225","7,278","13,158",789,
,,Estimated total,100.0%,"1,144",26,184,146,788,"21,749","7,458","13,483",808,
,State Total,,"11,544,225","34,595",495,"3,658","15,235","15,207","359,883","103,421","236,950","19,512",
,,"Rate per 100,000 inhabitants",,299.7,4.3,31.7,132.0,131.7,"3,117.4",895.9,"2,052.5",169.0,
OKLAHOMA,Metropolitan Statistical Area,,"2,465,038",,,,,,,,,,
,,Area actually reporting,100.0%,"13,374",171,"1,124","2,858","9,221","94,951","26,135","59,466","9,350",
,Cities outside metropolitan areas,,"722,935",,,,,,,,,,
,,Area actually reporting,99.9%,"3,541",25,348,334,"2,834","26,958","6,760","18,703","1,495",
,,Estimated total,100.0%,"3,544",25,348,334,"2,837","26,989","6,768","18,724","1,497",
,Nonmetropolitan counties,,"626,847",,,,,,,,,,
,,Area actually reporting,100.0%,984,20,116,39,809,"7,803","2,828","4,258",717,
,State Total,,"3,814,820","17,902",216,"1,588","3,231","12,867","129,743","35,731","82,448","11,564",
,,"Rate per 100,000 inhabitants",,469.3,5.7,41.6,84.7,337.3,"3,401.0",936.6,"2,161.3",303.1,
OREGON,Metropolitan Statistical Area,,"3,241,382",,,,,,,,,,
,,Area actually reporting,99.9%,"8,356",73,965,"2,216","5,102","106,863","17,850","79,987","9,026",
,,Estimated total,100.0%,"8,363",73,966,"2,218","5,106","106,966","17,866","80,066","9,034",
,Cities outside metropolitan areas,,"306,270",,,,,,,,,,
,,Area actually reporting,89.2%,837,12,107,143,575,"11,997","2,247","9,115",635,
,,Estimated total,100.0%,938,13,120,160,645,"13,451","2,519","10,220",712,
,Nonmetropolitan counties,,"351,701",,,,,,,,,,
,,Area actually reporting,98.4%,346,6,53,34,253,"5,221","1,492","3,279",450,
,,Estimated total,100.0%,352,6,54,35,257,"5,306","1,516","3,333",457,
,State Total,,"3,899,353","9,653",92,"1,140","2,413","6,008","125,723","21,901","93,619","10,203",
,,"Rate per 100,000 inhabitants",,247.6,2.4,29.2,61.9,154.1,"3,224.2",561.7,"2,400.9",261.7,
PENNSYLVANIA,Metropolitan Statistical Area,,"11,253,278",,,,,,,,,,
,,Area actually reporting,99.4%,"41,344",648,"2,800","15,353","22,543","250,881","50,686","186,047","14,148",
,,Estimated total,100.0%,"41,463",649,"2,807","15,387","22,620","252,060","50,881","186,992","14,187",
,Cities outside metropolitan areas,,"684,242",,,,,,,,,,
,,Area actually reporting,97.2%,"1,835",7,127,171,"1,530","12,595","2,200","10,096",299,
,,Estimated total,100.0%,"1,888",7,131,176,"1,574","12,956","2,263","10,385",308,
,Nonmetropolitan counties,,"826,016",,,,,,,,,,
,,Area actually reporting,100.0%,"1,152",29,389,110,624,"11,480","3,715","7,232",533,
,State Total,,"12,763,536","44,503",685,"3,327","15,673","24,818","276,496","56,859","204,609","15,028",
,,"Rate per 100,000 inhabitants",,348.7,5.4,26.1,122.8,194.4,"2,166.3",445.5,"1,603.1",117.7,
PUERTO RICO,Metropolitan Statistical Area,,"3,509,567",,,,,,,,,,
,,Area actually reporting,100.0%,"9,713",948,29,"6,191","2,545","49,475","14,465","29,239","5,771",
,Cities outside metropolitan areas,,"157,517",,,,,,,,,,
,,Area actually reporting,100.0%,328,30,3,107,188,"2,204",822,"1,306",76,
,Total,,"3,667,084","10,041",978,32,"6,298","2,733","51,679","15,287","30,545","5,847",
,,"Rate per 100,000 inhabitants",,273.8,26.7,0.9,171.7,74.5,"1,409.3",416.9,833.0,159.4,
RHODE ISLAND,Metropolitan Statistical Area,,"1,050,292",,,,,,,,,,
,,Area actually reporting,100.0%,"2,628",32,281,713,"1,602","26,928","5,947","18,419","2,562",
,Cities outside metropolitan areas,,None,,,,,,,,,,
,Nonmetropolitan counties,,None,,,,,,,,,,
,,Area actually reporting,100.0%,23,2,7,0,14,89,2,21,66,
,State Total,,"1,050,292","2,651",34,288,713,"1,616","27,017","5,949","18,440","2,628",
,,"Rate per 100,000 inhabitants",,252.4,3.2,27.4,67.9,153.9,"2,572.3",566.4,"1,755.7",250.2,
SOUTH CAROLINA,Metropolitan Statistical Area,,"3,956,484",,,,,, ,,,,
,,Area actually reporting,99.8%,"21,468",260,"1,423","3,852","15,933","149,317","35,981","102,169","11,167",
,,Estimated total,100.0%,"21,497",260,"1,425","3,857","15,955","149,576","36,027","102,369","11,180",
,Cities outside metropolitan areas,,"211,649",,,,,,,,,,
,,Area actually reporting,98.0%,"2,193",20,92,379,"1,702","12,872","3,389","8,985",498,
,,Estimated total,100.0%,"2,238",20,94,387,"1,737","13,138","3,459","9,171",508,
,Nonmetropolitan counties,,"555,590",,,,,,,,,,
,,Area actually reporting,100.0%,"2,662",44,160,245,"2,213","17,836","5,600","10,723","1,513",
,State Total,,"4,723,723","26,397",324,"1,679","4,489","19,905","180,550","45,086","122,263","13,201",
,,"Rate per 100,000 inhabitants",,558.8,6.9,35.5,95.0,421.4,"3,822.2",954.5,"2,588.3",279.5,
SOUTH DAKOTA,Metropolitan Statistical Area,,"388,098", ,,,,,,,,,
,,Area actually reporting,99.3%,"1,248",6,300,125,817,"10,297","1,901","7,776",620,
,,Estimated total,100.0%,"1,252",6,301,125,820,"10,336","1,906","7,808",622,
,Cities outside metropolitan areas,,"219,788",,,,,,,,,,
,,Area actually reporting,77.7%,"1,179",10,232,28,909,"5,231",956,"3,948",327,
,,Estimated total,100.0%,"1,238",11,244,29,954,"5,492","1,004","4,145",343,
,Nonmetropolitan counties,,"225,468",,,,,,,,,,
,,Area actually reporting,77.7%,149,6,31,3,109,"1,041",270,693,78,
,,Estimated total,100.0%,192,8,40,4,140,"1,340",348,892,100,
,State Total,,"833,354","2,682",25,585,158,"1,914","17,168","3,258","12,845","1,065",
,,"Rate per 100,000 inhabitants",,321.8,3.0,70.2,19.0,229.7,"2,060.1",391.0,"1,541.4",127.8,
TENNESSEE,Metropolitan Statistical Area,,"4,953,032", ,,,,,,,,,
,,Area actually reporting,100.0%,"35,306",327,"1,701","7,678","25,600","175,516","44,094","120,691","10,731",
,Cities outside metropolitan areas,,"516,983",,,,,,,,,,
,,Area actually reporting,100.0%,"3,261",17,185,360,"2,699","23,311","5,195","17,271",845,
,Nonmetropolitan counties,,"986,228",,,,,,,,,,
,,Area actually reporting,100.0%,"2,983",44,146,131,"2,662","18,837","6,892","10,541","1,404",
,State Total,,"6,456,243","41,550",388,"2,032","8,169","30,961","217,664","56,181","148,503","12,980",
,,"Rate per 100,000 inhabitants",,643.6,6.0,31.5,126.5,479.6,"3,371.4",870.2,"2,300.1",201.0,
TEXAS,Metropolitan Statistical Area,,"22,993,976",,,,,,,,,,
,,Area actually reporting,99.9%,"97,603","1,016","6,791","29,625","60,171","805,325","184,006","559,621","61,698",
,,Estimated total,100.0%,"97,633","1,016","6,794","29,632","60,191","805,678","184,076","559,884","61,718",
,Cities outside metropolitan areas,,"1,427,466",,,,,,,,,,
,,Area actually reporting,99.0%,"5,747",58,583,605,"4,501","45,308","11,193","32,545","1,570",
,,Estimated total,100.0%,"5,796",59,588,608,"4,541","45,684","11,288","32,817","1,579",
,Nonmetropolitan counties,,"1,637,761",,,,,,,,,,
,,Area actually reporting,98.3%,"2,995",68,323,140,"2,464","24,276","9,285","13,321","1,670",
,,Estimated total,100.0%,"3,047",69,329,142,"2,507","24,697","9,446","13,552","1,699",
,State Total,,"26,059,203","106,476","1,144","7,711","30,382","67,239","876,059","204,810","606,253","64,996",
,,"Rate per 100,000 inhabitants",,408.6,4.4,29.6,116.6,258.0,"3,361.8",785.9,"2,326.4",249.4,
UTAH,Metropolitan Statistical Area,,"2,545,653",,,,,,,,,,
,,Area actually reporting,99.9%,"5,226",36,833,"1,071","3,286","78,305","11,682","60,984","5,639",
,,Estimated total,100.0%,"5,231",36,834,"1,072","3,289","78,406","11,697","61,064","5,645",
,Cities outside metropolitan areas,,"135,463",,,,,,,,,,
,,Area actually reporting,92.2%,297,9,53,19,216,"3,677",611,"2,913",153,
,,Estimated total,100.0%,322,10,57,21,234,"3,986",662,"3,158",166,
,Nonmetropolitan counties,,"174,171",,,,,,,,,,
,,Area actually reporting,95.6%,310,4,50,7,249,"2,899",558,"2,161",180,
,,Estimated total,100.0%,323,4,52,7,260,"3,032",584,"2,260",188,
,State Total,,"2,855,287","5,876",50,943,"1,100","3,783","85,424","12,943","66,482","5,999",
,,"Rate per 100,000 inhabitants",,205.8,1.8,33.0,38.5,132.5,"2,991.8",453.3,"2,328.4",210.1,
VERMONT,Metropolitan Statistical Area,,"212,393",,,,,,,,,,
,,Area actually reporting,100.0%,344,1,45,51,247,"6,035","1,374","4,524",137,
,Cities outside metropolitan areas,,"205,469",,,,,,,,,,
,,Area actually reporting,98.5%,359,3,50,47,259,"5,337","1,125","4,065",147,
,,Estimated total,100.0%,365,3,51,48,263,"5,417","1,142","4,126",149,
,Nonmetropolitan counties,,"208,149",, ,,,,,,,,
,,Area actually reporting,100.0%,184,4,25,13,142,"3,564","1,449","1,966",149,
,State Total,,"626,011",893,8,121,112,652,"15,016","3,965","10,616",435,
,,"Rate per 100,000 inhabitants",,142.6,1.3,19.3,17.9,104.2,"2,398.7",633.4,"1,695.8",69.5,
VIRGINIA,Metropolitan Statistical Area,,"7,105,199",,,,,,,,,,
,,Area actually reporting,100.0%,"13,912",270,"1,247","4,432","7,963","157,319","24,903","124,181","8,235",
,Cities outside metropolitan areas,,"267,746",,,,,,,,,,
,,Area actually reporting,100.0%,614,14,76,145,379,"8,592","1,478","6,852",262,
,Nonmetropolitan counties,,"812,922",,,,,,,,,,
,,Area actually reporting,100.0%,"1,038",30,129,129,750,"11,074","3,130","7,365",579,
,State Total,,"8,185,867","15,564",314,"1,452","4,706","9,092","176,985","29,511","138,398","9,076",
,,"Rate per 100,000 inhabitants",,190.1,3.8,17.7,57.5,111.1,"2,162.1",360.5,"1,690.7",110.9,
WASHINGTON,Metropolitan Statistical Area,,"6,179,551",,,,,,,,,,
,,Area actually reporting,100.0%,"18,830",180,"1,927","5,543","11,180","231,017","54,547","151,575","24,895",
,Cities outside metropolitan areas,,"296,203",,,,,,,,,,
,,Area actually reporting,97.7%,912,11,169,147,585,"13,080","3,121","9,084",875,
,,Estimated total,100.0%,934,11,173,151,599,"13,394","3,196","9,302",896,
,Nonmetropolitan counties,,"421,258",,,,,,,,,,
,,Area actually reporting,100.0%,622,15,93,51,463,"7,922","2,982","4,329",611,
,State Total,,"6,897,012","20,386",206,"2,193","5,745","12,242","252,333","60,725","165,206","26,402",
,,"Rate per 100,000 inhabitants",,295.6,3.0,31.8,83.3,177.5,"3,658.6",880.5,"2,395.3",382.8,
WEST VIRGINIA,Metropolitan Statistical Area,,"1,135,886",,,,,,,,,,
,,Area actually reporting,93.4%,"3,725",43,280,668,"2,734","30,063","7,721","20,890","1,452",
,,Estimated total,100.0%,"3,929",44,295,698,"2,892","32,190","8,152","22,506","1,532",
,Cities outside metropolitan areas,,"190,838",,,,,,,,,,
,,Area actually reporting,77.8%,582,6,32,61,483,"3,543",732,"2,717",94,
,,Estimated total,100.0%,748,8,41,78,621,"4,554",941,"3,492",121,
,Nonmetropolitan counties,,"528,689",,,,,,,,,,
,,Area actually reporting,90.7%,"1,080",18,77,56,929,"6,469","1,993","3,972",504,
,,Estimated total,100.0%,"1,192",20,85,62,"1,025","7,134","2,198","4,380",556,
,State Total,,"1,855,413","5,869",72,421,838,"4,538","43,878","11,291","30,378","2,209",
,,"Rate per 100,000 inhabitants",,316.3,3.9,22.7,45.2,244.6,"2,364.9",608.5,"1,637.3",119.1,
WISCONSIN,Metropolitan Statistical Area,,"4,213,426",,,,,,,,,,
,,Area actually reporting,98.8%,"14,089",162,950,"4,486","8,491","110,111","21,625","81,274","7,212",
,,Estimated total,100.0%,"14,151",163,955,"4,503","8,530","111,286","21,784","82,261","7,241",
,Cities outside metropolitan areas,,"636,932",,,,,,,,,,
,,Area actually reporting,97.1%,"1,038",5,127,83,823,"18,047","2,495","15,133",419,
,,Estimated total,100.0%,"1,068",5,131,85,847,"18,581","2,569","15,581",431,
,Nonmetropolitan counties,,"876,040",,,,,,,,,,
,,Area actually reporting,97.3%,822,5,129,33,655,"10,358","3,495","6,334",529,
,,Estimated total,100.0%,845,5,133,34,673,"10,646","3,592","6,510",544,
,State Total,,"5,726,398","16,064",173,"1,219","4,622","10,050","140,513","27,945","104,352","8,216",
,,"Rate per 100,000 inhabitants",,280.5,3.0,21.3,80.7,175.5,"2,453.8",488.0,"1,822.3",143.5,
WYOMING,Metropolitan Statistical Area,,"171,501", ,,,,, ,,,,
,,Area actually reporting,100.0%,379,5,40,39,295,"5,062",899,"3,886",277,
,Cities outside metropolitan areas,,"242,167",,,,,,,,,,
,,Area actually reporting,96.5%,567,8,93,12,454,"6,422",830,"5,375",217,
,,Estimated total,100.0%,586,8,96,12,470,"6,652",860,"5,567",225,
,Nonmetropolitan counties,,"162,744",, ,, ,,,,,,
,,Area actually reporting,92.6%,182,1,17,9,155,"1,397",339,982,76,
,,Estimated total,100.0%,196,1,18,10,167,"1,508",366,"1,060",82,
,State Total,,"576,412","1,161",14,154,61,932,"13,222","2,125","10,513",584,
,,"Rate per 100,000 inhabitants",,201.4,2.4,26.7,10.6,161.7,"2,293.8",368.7,"1,823.9",101.3,
1 Includes offenses reported by the Zoological Police and the Metro Transit Police.,,,,,,,,,,,,,
"2 The data collection methodology for the offense of forcible rape used by the Minnesota state Uniform Crime Reporting (UCR) Program (with the exception of Minneapolis and St. Paul, Minnesota) does not comply with national UCR Program guidelines.  Consequently, its figures for forcible rape and violent crime (of which forcible rape is a part) are not published in this table.",,,,,,,,,,,,,
"3 Because of changes in the state/local agency's reporting practices, figures are not comparable to previous years' data.",,,,,,,,,,,,,
"NOTE:  Although arson data are included in the trend and clearance tables, sufficient data are not available to estimate totals for this offense.  Therefore, no arson data are published in this table.",,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
